name,peak_no,peak_values,Time
NEW.BONG.ESCAPE,p6,72,3/2/2022 18:45
NEW.BONG.ESCAPE,p7,71,3/2/2022 19:15
NEW.BONG.ESCAPE,p8,71,3/2/2022 19:30
NEW.BONG.ESCAPE,p9,71,3/2/2022 19:45
PATRIND,p1,50,3/2/2022 17:15
PATRIND,p2,49,3/2/2022 17:30
PATRIND,p3,49,3/2/2022 17:45
PATRIND,p4,50,3/2/2022 18:15
PATRIND,p5,49,3/2/2022 18:30
PATRIND,p6,49,3/2/2022 18:45
PATRIND,p7,49,3/2/2022 19:15
PATRIND,p8,49,3/2/2022 19:30
PATRIND,p9,49,3/2/2022 19:45
DARAL.KHWAR..BEHREN.,p1,4,3/2/2022 17:15
DARAL.KHWAR..BEHREN.,p2,4,3/2/2022 17:30
DARAL.KHWAR..BEHREN.,p3,4,3/2/2022 17:45
DARAL.KHWAR..BEHREN.,p4,4,3/2/2022 18:15
DARAL.KHWAR..BEHREN.,p5,4,3/2/2022 18:30
DARAL.KHWAR..BEHREN.,p6,4,3/2/2022 18:45
DARAL.KHWAR..BEHREN.,p7,4,3/2/2022 19:15
DARAL.KHWAR..BEHREN.,p8,4,3/2/2022 19:30
DARAL.KHWAR..BEHREN.,p9,4,3/2/2022 19:45
GUL.PUR,p1,32,3/2/2022 17:15
GUL.PUR,p2,32,3/2/2022 17:30
GUL.PUR,p3,32,3/2/2022 17:45
GUL.PUR,p4,31,3/2/2022 18:15
GUL.PUR,p5,31,3/2/2022 18:30
GUL.PUR,p6,31,3/2/2022 18:45
GUL.PUR,p7,31,3/2/2022 19:15
GUL.PUR,p8,31,3/2/2022 19:30
GUL.PUR,p9,31,3/2/2022 19:45
KAPCO,p1,0,3/2/2022 17:15
KAPCO,p2,0,3/2/2022 17:30
KAPCO,p3,0,3/2/2022 17:45
KAPCO,p4,0,3/2/2022 18:15
KAPCO,p5,0,3/2/2022 18:30
KAPCO,p6,0,3/2/2022 18:45
KAPCO,p7,0,3/2/2022 19:15
KAPCO,p8,0,3/2/2022 19:30
KAPCO,p9,0,3/2/2022 19:45
HUBCO,p1,0,3/2/2022 17:15
HUBCO,p2,0,3/2/2022 17:30
HUBCO,p3,0,3/2/2022 17:45
HUBCO,p4,0,3/2/2022 18:15
HUBCO,p5,0,3/2/2022 18:30
HUBCO,p6,0,3/2/2022 18:45
HUBCO,p7,0,3/2/2022 19:15
HUBCO,p8,0,3/2/2022 19:30
HUBCO,p9,0,3/2/2022 19:45
KEL,p1,122,3/2/2022 17:15
KEL,p2,122,3/2/2022 17:30
KEL,p3,122,3/2/2022 17:45
KEL,p4,122,3/2/2022 18:15
KEL,p5,121,3/2/2022 18:30
KEL,p6,122,3/2/2022 18:45
KEL,p7,122,3/2/2022 19:15
KEL,p8,122,3/2/2022 19:30
KEL,p9,122,3/2/2022 19:45
AES.LALPIR,p1,0,3/2/2022 17:15
AES.LALPIR,p2,0,3/2/2022 17:30
AES.LALPIR,p3,0,3/2/2022 17:45
AES.LALPIR,p4,0,3/2/2022 18:15
AES.LALPIR,p5,0,3/2/2022 18:30
AES.LALPIR,p6,0,3/2/2022 18:45
AES.LALPIR,p7,0,3/2/2022 19:15
AES.LALPIR,p8,0,3/2/2022 19:30
AES.LALPIR,p9,0,3/2/2022 19:45
AES.PAKGEN,p1,0,3/2/2022 17:15
AES.PAKGEN,p2,0,3/2/2022 17:30
AES.PAKGEN,p3,0,3/2/2022 17:45
AES.PAKGEN,p4,0,3/2/2022 18:15
AES.PAKGEN,p5,0,3/2/2022 18:30
AES.PAKGEN,p6,0,3/2/2022 18:45
AES.PAKGEN,p7,0,3/2/2022 19:15
AES.PAKGEN,p8,0,3/2/2022 19:30
AES.PAKGEN,p9,0,3/2/2022 19:45
SEPCOL,p1,0,3/2/2022 17:15
SEPCOL,p2,0,3/2/2022 17:30
SEPCOL,p3,0,3/2/2022 17:45
SEPCOL,p4,0,3/2/2022 18:15
