Time,name,time_range_one,max_1,min_1,average,time_range_two,max_2,min_2,time_range_three,max_3,min_3
2022-03-03,FWEL.II.WIND,0100----2400,26,0,5.39393939393939,0100----1600,26,0,1700---2400,6,0
2022-03-03,SAPPHIRE.WIND,0100----2400,28,0,3.78787878787879,0100----1600,28,0,1700---2400,6,0
2022-03-03,METRO.WIND..MPCL.,0100----2400,28,0,6.72727272727273,0100----1600,28,2,1700---2400,6,0
2022-03-03,YOUNIS.WIND,0100----2400,27,0,4,0100----1600,27,0,1700---2400,5,0
2022-03-03,TAPAL.WIND.TWEPL.,0100----2400,14,0,3.48484848484848,0100----1600,14,0,1700---2400,4,0
2022-03-03,MASTER.WIND..MWEL.,0100----2400,24,0,3.72727272727273,0100----1600,24,0,1700---2400,5,0
2022-03-03,TAPAL.WIND..2,0100----2400,39,0,11.7272727272727,0100----1600,39,3,1700---2400,7,0
2022-03-03,GUL.AHMED.WIND,0100----2400,23,0,3.75757575757576,0100----1600,23,0,1700---2400,5,0
2022-03-03,ARTISTIC.WIND..2,0100----2400,33,0,9.81818181818182,0100----1600,33,1,1700---2400,12,0
2022-03-03,SACHAL.WIND,0100----2400,31,0,7.96969696969697,0100----1600,31,2,1700---2400,6,0
2022-03-03,UEP.WIND.POWER,0100----2400,29,0,6.48484848484848,0100----1600,29,0,1700---2400,5,0
2022-03-03,ARTISTIC.WIND,0100----2400,39,0,8.3030303030303,0100----1600,39,0,1700---2400,11,0
2022-03-03,JHIMPIR.POWER,0100----2400,21,0,6,0100----1600,21,0,1700---2400,6,0
2022-03-03,HAWA.WIND..HEPL.,0100----2400,31,0,7.48484848484848,0100----1600,31,0,1700---2400,8,0
2022-03-03,TGT.WIND,0100----2400,33,0,5.3030303030303,0100----1600,33,0,1700---2400,6,0
2022-03-03,TGS.ENERGY,0100----2400,31,0,4.6969696969697,0100----1600,31,0,1700---2400,5,0
2022-03-03,TRICON.BOSTON..A.,0100----2400,23,0,4.75757575757576,0100----1600,23,0,1700---2400,2,0
2022-03-03,TRICON.BOSTON..B.,0100----2400,23,0,5.33333333333333,0100----1600,23,0,1700---2400,3,0
2022-03-03,TRICON.BOSTON..C.,0100----2400,29,0,6.06060606060606,0100----1600,29,0,1700---2400,6,0
2022-03-03,MASTER.GREEN.WIND,0100----2400,37,0,8.48484848484848,0100----1600,37,2,1700---2400,8,0
2022-03-03,TRICOM.WIND,0100----2400,34,0,9.60606060606061,0100----1600,34,3,1700---2400,7,0
2022-03-03,TENAGA.WIND,0100----2400,14,0,4.60606060606061,0100----1600,14,0,1700---2400,6,0
2022-03-03,DAWOOD.WIND,0100----2400,17,0,3.57575757575758,0100----1600,17,0,1700---2400,6,0
2022-03-03,ZEPHYR.WIND,0100----2400,28,0,7.93939393939394,0100----1600,28,0,1700---2400,9,0
2022-03-03,INDUS.WIND,0100----2400,42,0,11.0606060606061,0100----1600,42,2,1700---2400,4,0
2022-03-04,TARBELA,0100----2400,840,80,363.333333333333,0100----1600,320,80,1700---2400,840,200
2022-03-04,TARBELA.Ext.4,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-04,MANGLA,0100----2400,678,515,533.060606060606,0100----1600,678,515,1700---2400,601,515
2022-03-04,GHAZI.BROTHA,0100----2400,870,0,311.212121212121,0100----1600,870,0,1700---2400,580,0
2022-03-04,WARSAK,0100----2400,154,25,56.030303030303,0100----1600,35,25,1700---2400,154,35
2022-03-04,CHASHMA,0100----2400,44,20,37.5454545454545,0100----1600,44,20,1700---2400,44,38
2022-03-04,JINNAH.HYDEL,0100----2400,27,12,15.7878787878788,0100----1600,27,12,1700---2400,20,12
2022-03-04,ALLAI.KHWAR,0100----2400,121,0,49.3333333333333,0100----1600,30,30,1700---2400,121,0
2022-03-04,KHAN.KHWAR,0100----2400,38,4,25.5757575757576,0100----1600,38,4,1700---2400,26,26
2022-03-04,DUBAIR.KHWAR,0100----2400,35,0,25.4545454545455,0100----1600,35,0,1700---2400,35,0
2022-03-04,NEELUM.JEHLUM,0100----2400,121,119,120.151515151515,0100----1600,121,119,1700---2400,120,120
2022-03-04,GOLEN.GOL,0100----2400,7,6,6.3030303030303,0100----1600,7,6,1700---2400,7,6
2022-03-04,JAMSHORO,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-04,KOTRI,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-04,LAKHRA,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-04,GUDDU...1.4,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-04,GUDDU...5.13,0100----2400,235.1282,233.1606,234.204024242424,0100----1600,235.1282,234.1444,1700---2400,235.1282,233.1606
2022-03-04,GUDDU.747,0100----2400,394,365,384.636363636364,0100----1600,394,365,1700---2400,388,383
2022-03-04,QUETTA,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-04,MUZAFFARGARH,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-04,MULTAN,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-04,GTPS.FAISALABAD,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-04,SPS.FBD,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-04,SHAHDARA,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-04,NANDI.PUR,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-04,JAGRAN,0100----2400,3,3,3,0100----1600,3,3,1700---2400,3,3
2022-03-04,MALAKAND...III,0100----2400,25,22,23.1515151515152,0100----1600,25,23,1700---2400,23,22
