Time,Name,category,Energy_MWh
3/2/2022 01:00,UEP.WIND.POWER,Wind,11
3/2/2022 01:00,ARTISTIC.WIND,Wind,5
3/2/2022 01:00,JHIMPIR.POWER,Wind,6
3/2/2022 01:00,HAWA.WIND..HEPL.,Wind,9
3/2/2022 01:00,TGT.WIND,Wind,11
3/2/2022 01:00,TGS.ENERGY,Wind,10
3/2/2022 01:00,TRICON.BOSTON..A.,Wind,8
3/2/2022 01:00,TRICON.BOSTON..B.,Wind,4
3/2/2022 01:00,TRICON.BOSTON..C.,Wind,6
3/2/2022 01:00,MASTER.GREEN.WIND,Wind,10
3/2/2022 01:00,TRICOM.WIND,Wind,3
3/2/2022 01:00,TENAGA.WIND,Wind,24
3/2/2022 01:00,DAWOOD.WIND,Wind,24
3/2/2022 01:00,ZEPHYR.WIND,Wind,27
3/2/2022 01:00,INDUS.WIND,Wind,11
3/2/2022 02:00,TARBELA,Hydel,300
3/2/2022 02:00,TARBELA.Ext.4,Hydel,0
3/2/2022 02:00,MANGLA,Hydel,532
3/2/2022 02:00,GHAZI.BROTHA,Hydel,0
3/2/2022 02:00,WARSAK,Hydel,30
3/2/2022 02:00,CHASHMA,Hydel,51
3/2/2022 02:00,JINNAH.HYDEL,Hydel,17
3/2/2022 02:00,ALLAI.KHWAR,Hydel,0
3/2/2022 02:00,KHAN.KHWAR,Hydel,14
3/2/2022 02:00,DUBAIR.KHWAR,Hydel,0
3/2/2022 02:00,NEELUM.JEHLUM,Hydel,121
3/2/2022 02:00,GOLEN.GOL,Hydel,6
3/2/2022 02:00,JAMSHORO,Genco1,0
3/2/2022 02:00,KOTRI,Genco1,0
3/2/2022 02:00,LAKHRA,Genco1,0
3/2/2022 02:00,GUDDU...1.4,Genco1,0
3/2/2022 02:00,GUDDU...5.13,Genco2,193.81
3/2/2022 02:00,GUDDU.747,Genco2,0
3/2/2022 02:00,QUETTA,Genco2,0
3/2/2022 02:00,MUZAFFARGARH,Genco3,0
3/2/2022 02:00,MULTAN,Genco3,0
3/2/2022 02:00,GTPS.FAISALABAD,Genco3,0
3/2/2022 02:00,SPS.FBD,Genco3,0
3/2/2022 02:00,SHAHDARA,Genco3,0
3/2/2022 02:00,NANDI.PUR,Genco3,0
3/2/2022 02:00,JAGRAN,IPPs Hydel,3
3/2/2022 02:00,MALAKAND...III,IPPs Hydel,21
3/2/2022 02:00,NEW.BONG.ESCAPE,IPPs Hydel,71
3/2/2022 02:00,PATRIND,IPPs Hydel,0
3/2/2022 02:00,DARAL.KHWAR..BEHREN.,IPPs Hydel,5
3/2/2022 02:00,GUL.PUR,IPPs Hydel,33
3/2/2022 02:00,KAPCO,IPPs Fossil Fuel,0
3/2/2022 02:00,HUBCO,IPPs Fossil Fuel,0
3/2/2022 02:00,KEL,IPPs Fossil Fuel,0
3/2/2022 02:00,AES.LALPIR,IPPs Fossil Fuel,0
3/2/2022 02:00,AES.PAKGEN,IPPs Fossil Fuel,0
3/2/2022 02:00,SEPCOL,IPPs Fossil Fuel,0
3/2/2022 02:00,HCPC,IPPs Fossil Fuel,0
3/2/2022 02:00,UCH,IPPs Fossil Fuel,458
3/2/2022 02:00,ROUSCH,IPPs Fossil Fuel,0
3/2/2022 02:00,FKPCL,IPPs Fossil Fuel,0
3/2/2022 02:00,SABA,IPPs Fossil Fuel,0
3/2/2022 02:00,JAPAN,IPPs Fossil Fuel,0
3/2/2022 02:00,LIBERTY.POWER,IPPs Fossil Fuel,0
3/2/2022 02:00,AEL,IPPs Fossil Fuel,0
3/2/2022 02:00,DAVIS,IPPs Fossil Fuel,0
3/2/2022 02:00,AGL,IPPs Fossil Fuel,0
3/2/2022 02:00,ATLAS,IPPs Fossil Fuel,0
3/2/2022 02:00,ENGRO,IPPs Fossil Fuel,0
3/2/2022 02:00,SAIF,IPPs Fossil Fuel,0
3/2/2022 02:00,ORIENT,IPPs Fossil Fuel,0
3/2/2022 02:00,NISHAT.POWER,IPPs Fossil Fuel,0
3/2/2022 02:00,NISHAT.CHUNIAN,IPPs Fossil Fuel,0
3/2/2022 02:00,FOUNDATION,IPPs Fossil Fuel,80
3/2/2022 02:00,SAPPHIRE,IPPs Fossil Fuel,0
3/2/2022 02:00,LIBERTY.TECH.,IPPs Fossil Fuel,0
3/2/2022 02:00,HUBCO.NAROWAL,IPPs Fossil Fuel,0
3/2/2022 02:00,HALMORE,IPPs Fossil Fuel,0
3/2/2022 02:00,UCH.II,IPPs Fossil Fuel,273
3/2/2022 02:00,BHIKKI..QATPL.,IPPs Fossil Fuel,502
3/2/2022 02:00,SAHIWAL..COAL..HSR.,IPPs Fossil Fuel,666
3/2/2022 02:00,H.B.SHAH,IPPs Fossil Fuel,704
3/2/2022 02:00,RESHMA.POWER,IPPs Fossil Fuel,0
3/2/2022 02:00,GULF.POWER,IPPs Fossil Fuel,0
3/2/2022 02:00,BALLOKI,IPPs Fossil Fuel,688
3/2/2022 02:00,PORT.QASIM.COAL,IPPs Fossil Fuel,667
3/2/2022 02:00,ENGRO.THAR.COAL,IPPs Fossil Fuel,158
3/2/2022 02:00,CHINA.HUBCO.COAL,IPPs Fossil Fuel,277
3/2/2022 02:00,LUCKY.COAL,IPPs Fossil Fuel,603
3/2/2022 02:00,JDW.II..SADIQ.ABAD.,IPPs Bagasse,20
3/2/2022 02:00,JDW.III..GHOTKI.,IPPs Bagasse,20
3/2/2022 02:00,RYKML,IPPs Bagasse,19
3/2/2022 02:00,CHINIOT.POWER,IPPs Bagasse,41
3/2/2022 02:00,FATIMA.ENERGY..FEL.,IPPs Bagasse,37
3/2/2022 02:00,HAMZA.SUGAR,IPPs Bagasse,14
3/2/2022 02:00,THALL.POWER..LAYYAH.,IPPs Bagasse,21
3/2/2022 02:00,ALMOIZ.INDUSTRIES.LIMITED,IPPs Bagasse,0
3/2/2022 02:00,CHANAR.ENERGY.LIMITED,IPPs Bagasse,17
3/2/2022 02:00,CHASHNUPP...I,IPPs Nuclear,304
3/2/2022 02:00,CHASHNUPP.II,IPPs Nuclear,314
3/2/2022 02:00,CHASHNUPP.III,IPPs Nuclear,249
3/2/2022 02:00,CHASHNUPP.IV,IPPs Nuclear,318
3/2/2022 02:00,K.2,IPPs Nuclear,1036
3/2/2022 02:00,QUAID.AZAM.SOLAR,Solar,0
3/2/2022 02:00,APPOLO.SOLAR,Solar,0
3/2/2022 02:00,BEST.GREEN.SOLAR,Solar,0
3/2/2022 02:00,CREST.ENERGY.SOLAR,Solar,0
3/2/2022 02:00,FFCEL.WIND,Wind,4
3/2/2022 02:00,ZEPL.WIND,Wind,4
3/2/2022 02:00,TGF.WIND,Wind,10
3/2/2022 02:00,FWEL.I.WIND,Wind,27
3/2/2022 02:00,FWEL.II.WIND,Wind,26
3/2/2022 02:00,SAPPHIRE.WIND,Wind,0
3/2/2022 02:00,METRO.WIND..MPCL.,Wind,11
3/2/2022 02:00,YOUNIS.WIND,Wind,16
3/2/2022 02:00,TAPAL.WIND.TWEPL.,Wind,5
3/2/2022 02:00,MASTER.WIND..MWEL.,Wind,3
3/2/2022 02:00,TAPAL.WIND..2,Wind,13
3/2/2022 02:00,GUL.AHMED.WIND,Wind,18
3/2/2022 02:00,ARTISTIC.WIND..2,Wind,14
3/2/2022 02:00,SACHAL.WIND,Wind,15
3/2/2022 02:00,UEP.WIND.POWER,Wind,0
3/2/2022 02:00,ARTISTIC.WIND,Wind,11
3/2/2022 02:00,JHIMPIR.POWER,Wind,10
3/2/2022 02:00,HAWA.WIND..HEPL.,Wind,7
3/2/2022 02:00,TGT.WIND,Wind,12
3/2/2022 02:00,TGS.ENERGY,Wind,12
3/2/2022 02:00,TRICON.BOSTON..A.,Wind,14
3/2/2022 02:00,TRICON.BOSTON..B.,Wind,10
3/2/2022 02:00,TRICON.BOSTON..C.,Wind,9
3/2/2022 02:00,MASTER.GREEN.WIND,Wind,8
3/2/2022 02:00,TRICOM.WIND,Wind,3
3/2/2022 02:00,TENAGA.WIND,Wind,18
3/2/2022 02:00,DAWOOD.WIND,Wind,0
3/2/2022 02:00,ZEPHYR.WIND,Wind,27
3/2/2022 02:00,INDUS.WIND,Wind,10
3/2/2022 03:00,TARBELA,Hydel,300
3/2/2022 03:00,TARBELA.Ext.4,Hydel,0
3/2/2022 03:00,MANGLA,Hydel,532
